,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,company_name,email,home_page,phone_number,street_address,updated,url
0,0,0,0.0,AFGHAN SHIPPING & LOGISTICS (ASL),operation@afghanshipping-logistics.com,,+93 (0)78 637 3732,"Hairatan Port 3, Hairatan, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/hairatan/page_01.html
1,1,1,0.0,PARSIMPEX AFGHANISTAN,opafg@parsimpex.com,www.parsimpex.com,+93(0)793649999,"Falakah Movlanay JamiI, Jami Trade Center, Herat, Afghanistan","Mar, 05, 2014",http://www.cargoyellowpages.com/en/afghanistan/herat/page_01.html
2,2,2,1.0,PEYMAN TRANSIT INT´L FORWARDING COMPANY,sn.nadem@hotmail.com,www.peyman.com.af,+93 (0)40 228282,"Muhammadi Building 3th Floor Unit 15,  009340, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/herat/page_01.html
3,3,3,0.0,PAKGRO,,,+93 (0)79 406482,"Al-Haj Main Aslam Plaza A, Dharamshal 4th Floor, Room no 149, Nangarhar, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/jalalabad/page_01.html
4,4,4,0.0,ALJUBAIR INTERNATIONAL TRANSPORTATION COMPANY (AIT...,info@aitc-co.com,www.aitc-co.com,+93 (0)796 82 9412,"Wazir Akbar Khan, 14th Street,","Jan, 08, 2018",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
5,5,5,1.0,AS LOGISTICS,ajmal@asl.af,www.asl.af,+971562600021,"House # 34, Street # 13, Wazir Akbar Khan, Kabul, Afghanistan","Jan, 30, 2016",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
6,6,6,2.0,SZ GROUP OF COMPANIES,info@szgroup-af.com,www.szgroup-af.com,+93790000081,"House No: 264, Lane No 1, Saleem Karwan Town, Dis 16, Kabul, Afghanistan","Aug, 16, 2015",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
7,7,7,3.0,AFGHAN EMPIRE INTERNATIONAL LOGISTICS & SERVICES (...,afghanempire1@gmail.com,www.afghanempireinternational.com,+93-799 127 321,"Parwan 2nd, Kabul, Afghanistan","Nov, 27, 2014",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
8,8,8,4.0,MULTITRANS,mubashir.muzafari@multitranslog.com,www.multitranslog.com,93799644904,"207B Shahr e Naw, Kabul, Afghanistan","Aug, 05, 2013",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
9,9,9,5.0,AAZAN CORPORATION,arifkamalsyed@gmail.com,www.aazancorporation.com,+92915250742,"TF-172, 3rd floor, Deans Trade Center Islamia Road Peshawar Cantt, Kabul, Afghanistan","Mar, 07, 2013",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
10,10,10,6.0,ISM INTERNATIONAL TRANSPORT AND LOGISTIC LTD.,mohammadismail982@gmail.com,,0093202554522,"Shirpoor Main Road, Jam Super Market, 2nd floor, District 10, Kabul, Afghanistan","Mar, 07, 2013",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
11,11,11,7.0,PAXTON KABUL LOGISTICS COMPANY,kabul@paxton.com,www.paxton.com/locations/kabul,+93 (0)70 0295 329,"House # 8 left side Afghan Street, Shash Darak, Kabul, Afghanistan","Nov, 18, 2012",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
12,12,12,8.0,GLOCAL,glocal@glocal.com.af,www.glocal.com.af,+ 93 (0) 799 330 325,"4th Street Taimani Project No. 786 Kabul, Afghanistan","Aug, 30, 2012",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
13,13,13,9.0,SONIC JET AFGHANISTAN,kabul@sonicjet.aero,www.sonicjet.aero,+93 (0)793 433889,"Kabul International Airport, New Terminal, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
14,14,14,10.0,AFEX LOGISTIC SOLUTIONS,andrew@afexsolutions.com,www.afexsolutions.com,+93 (0)79 490 7756,"House #731, Between Street 8 & 9, Main Road, Mouyi Mubarak, Taimani Watt, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
15,15,15,11.0,ACTCO AFGHANISTAN LOGISTICS,gaurav@afghancontainers.com,www.afghancontainers.com,+93 (0)700 214666,"House No 43 Street 2 Left West Charahi, Haji Yakub Sher e Now,  2683, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
16,16,16,12.0,AFGHAN CONTAINER TRANSPORT COMPANY,gaurav@afghancontainers.com,www.afghancontainers.com,+93 (0)70 214666,"House No 43, Street No 2, Left West of Charahi Haji Yaqub, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
17,17,17,13.0,AFGHAN INTERNATIONAL CARGO,,www.afghanshipping.com,,"Shahsamand Plaza, First Part Jade Mawand, Infront of Mawand Hospital, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
18,18,18,14.0,BLUE SEA LOGISTICS INTERNATIONAL,alamzeb@bluesea-group.com,www.bluesea-group.com,+93 (0)799 757895,"Street # 3rd, House # 5th, Qalai Fathullah, Shahr-e-Naw,  25000, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
19,19,19,15.0,AFGHAN SHIPPING & LOGISTICS (ASL),ceo@afghanshipping-logistics.com,www.afghanshipping-logistics.com,+93 (0)799 119105,"Sarak-e-Naw, Bagram, Jalalabad Main Road, Kabul Industrial Zone, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
20,20,20,16.0,ALLIED XPERT LOGISTICS,kabul@alliedxl.com,www.alliedxl.com,+93 (0)786 441 943,"Suite 511, Main Shash Darak Road, Opp Sitarra School,  74000, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
21,21,21,17.0,AU-LOGISTICS,info@aulogistics.com,www.aulogistics.com,+93 (0)78 720 3010,"Suite #1 St #2, Dani-E-Bagh Square, Baharistan Area Behind Punjsher Biz Ctr,  62000, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
22,22,22,18.0,AUSTIN SHIPPING AGENCY LLC,info@austingroup-me.com,www.austingroup-me.com,,"Ashraf Wat Road, Bet CharraiHaji Yaqoob & Charral Ansari, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
23,23,23,19.0,DIAMOND CROWN LOGISTIC SOLUTIONS,dcls.kbl@gmail.com,www.dcls.biz,+93 (0)700 013830,"Kolola Pushta District 4,  25000, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
24,24,24,20.0,IFLS,ops@iflspakistan.com,www.iflspakistan.com,+93 (0)21 252 6766,"Qulala Pushta Road, Behind Embassy of Holland, Street 01, House No 03, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
25,25,25,21.0,EMT LOGISTICS,admin@emtlogistics.aero,www.emtlogistics.aero,+93 (0)798 384050,"Parwan 3, Sarai Angoor, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
26,26,26,22.0,C2 LOGISTICS (AFGHANISTAN),,www.c2logistics.com,+93 (0)613 523 1816,"House 18 Street 2, Shash Drak, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
27,27,27,23.0,EURASIA INTERNATIONAL CONTAINER LOGISTICS SERVICE ...,kemal.karaoglu@intercombi.com,www.eurasia-icl.com,+93 (0)752 071538,"Klola Pushta Zadran, Building No 117, Gul-e-Surkh Square, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
28,28,28,24.0,EXPOLANKA FREIGHT FZ CO,geoffry@expoafghanistan.com,www.expolankafreight.com,,"PAE compound, Jalalabad Road, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
29,29,29,25.0,FIRST GLOBAL LOGISTICS SERVICES CO LTD,firstglobal.logistics.ltd@gmail.com,www.fglkabul.com,+93 (0)79 445 4513,"1st Floor Kabul Business Center, Haji Yaqub Square,  24000, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
30,30,30,26.0,FREIGHT LINKERS,info@freightlinkers.com,,+93 (0)778 590 733,"Shehr-e-Nou, 4th District, 1st Zone, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
31,31,31,27.0,GIFCO - GHORAYEB INTERNATIONAL FREIGHT FORWARDING ...,kabul@gifco.com,www.ghorayebshipping.com,+961 145 0550,"Kabul Haji Yaqoob Square, Kabul Business Center, 3rd floor office #307, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
32,32,32,28.0,GLOBAL LOGISTIX SYNDICATE LTD,int@bizdev@glxs.pk,www.glxs.pk,+93 (0)78 604 3200,"12 Hesai Deowam, Kart-e-Parwan, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
33,33,33,29.0,GLOBALINK LOGISTICS GROUP,kabul@globalinkllc.com,www.globalinkllc.com,+93 (0)20 220 1560,"Street 10, House 267, Taimani Watt, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
34,34,34,30.0,HEB INTERNATIONAL LOGISTICS,info@hebgroup.com,www.hebgroup.com,+93 (0)79 964 4904,"House #207-B, Gul Faroshi Street, Shahrah-e-Now, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
35,35,35,31.0,KARWAN LOGISTICS PVT LTD,,www.karwan-logistics.com,+93 (0)77 719 0910,"Sarak-e-now Industrial Area, Jalalabad Main Road,  25000, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
36,36,36,32.0,MEBS INTERNATIONAL,afghanistan@mebs-intl.com,www.mebs-intl.com,+93 (0)752 090 192,"Blok 7, Industrial Park, Pull Charkhi, District 9 Police Road, (Off Jalalabad Road), Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
37,37,37,33.0,NEW HAROON TRADERS,kabulcargo@gmail.com,,,"Opp Khushal Khan Mena, Amin Street,  44000, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
38,38,38,34.0,SKYLINK AFGHANISTAN,,www.skylinkaviation.com,+93 (0)798 267 268,"2nd Street of 9th District Police Dept, Jalalabad Road, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
39,39,39,35.0,MOVE ONE LOGISTICS/MOVE ONE RELOCATIONS,zsolt.ormai@moveoneinc.com,www.moveoneinc.com,+93 (0)799 310 903,"Qala-e-Fatullah, Street 6, House #396, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
40,40,40,36.0,OLOGH BEG INTERNATIONAL FORWARDERS CO LTD,khursheed@ologhbeg.com,www.ologhbeg.com,+93 (0)77 919 8008,"Haji Yaqoob Square, Opp AFC Continental, Sher-e-Now,  93000, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
41,41,41,37.0,PAK DYNAMIC LOGISTICS INTERNATIONAL PVT LTD,dlikabul@gmail.com,www.dliltd.com,+93 (0)20 220 4881,"Ansari Square, Sher-e-Now, Near Kabul City Centre, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
42,42,42,38.0,ABC BEST INTERNATIONAL FREIGHT MANAGEMENT,kabul@abcbestfreight.com,www.abcbestfreight.diytrade.com,+92 301 220 4171,"Office #203, 2nd Floor, Kabul Business Centre, Haji Yaqoub Roundabout, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
43,43,43,39.0,PAK-AFGHAN OVERLAND TRANSPORT CO,pakafghan@gmail.com,,+93 (0)70 836 177,"Block-B, 2nd Floor, Office No.4, Shairifi Plaza, Char Rahi, Ansari, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
44,44,44,40.0,PAKGRO,,www.pakgro.com,,"Office No 401, 4th Floor, Kabul Business Centre, Haji Yaqoob Roundabout, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
45,45,45,41.0,ROHANI LOGISTICS PVT LTD,rohani.logistics@gmail.com,www.rohani-logistics.com,+93 (0)70 616 0395,"Sarkh-e-Now Jalalabad Main Road, Parkh-e-Sanati, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
46,46,46,42.0,SEA LINK LOGISTICS INTERNATIONAL,info@sealink.com.af,www.sealink.com.af,+93 (0)799 328092,"House #2, Street #2, Near Blossom Health Care Center, Hanzala Mosque Rd, Shahr-e-Naw,  25000, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
47,47,47,43.0,SKA AFGHANISTAN,,,,"KIAI Road Gate 2, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
48,48,48,44.0,TRANSBANKAS AFGHANISTAN LTD,info@transbankas.lt,www.transbankas.com,+93 (0)799 119105,"House #32, Road #15, Street #13, Opposite British Embassy, Beside Omid Public High School, Wazir Akbar Khan, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
49,49,49,45.0,XE SERVICES LLC,blackwaterkabul.logistics@gmail.com,www.xecompany.com,+93 (0)79 7971 3403,"Shash Darak, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
50,50,50,46.0,"AARAS SHIPPING & LOGISTICS AFGHANISTAN.,",kabul@aarasshipping.com,www.aarasshipping.com,+93 777 150076,"Sharifi Plaza, Office No.4, 2 nd Floor,Block-B, Char Rahi Ansari, Kabul, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
51,51,51,47.0,ALLIED EXPRESS LOGISTICS COMPANY.,ceo@allied-xlogistics.com,www.allied-xlogistics.com,+93-7 9907 9112,"House #292, District-4,Lane1,Share-e-Now, Opposite International restaurant club., Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
52,52,52,0.0,ALLIED XPERT LOGISTICS,kabul@alliedxl.com,,+93 (0)786 441 943,"Kandhar, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kandahar/page_01.html
53,53,53,1.0,AFGHAN SHIPPING & LOGISTICS (ASL),info@afghanshipping-logistics.com,,+93 (0)77 710 1234,"Dorraye, Airport Road, Opp Kandahar Custom House, Kandahar, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/kandahar/page_01.html
54,54,54,0.0,ARIA NOOR LOGISTIC SERVICES COMPANY,fayez.sadat@anl.af,www.anl.af,93790384887,"Baihaqi Street, Ghazanfar Business center, 6th floor, Off. # 606, Mazar-e-Sharif, Afghanistan","Aug, 27, 2013",http://www.cargoyellowpages.com/en/afghanistan/mazar_e_sharif/page_01.html
55,55,55,0.0,AFGHAN SHIPPING & LOGISTICS (ASL),agencydept@airseaworldwide.net,www.airseaworldwide.net,+93 (0)78 637 3732,"Zadran Market, Office No 3 & 4, Sharana, Afghanistan",,http://www.cargoyellowpages.com/en/afghanistan/sharana/page_01.html
56,56,56,0.0,BKR & INTICO,,,+355 52 236241,"Lagja 11, Durresi, Tirana, Tiranes, Albania",,http://www.cargoyellowpages.com/en/albania/duressi/page_01.html
57,57,57,0.0,DUBAI SHIPMENT FREIGHT FORWARDING,dubaishipment@gmail.com,,+355695247893,"Durres, Lagja 11, Duressi, Albania","Sep, 08, 2014",http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
58,58,58,1.0,PELIKAN COMPANY,info@pelikantransport.com,www.pelikantransport.com,+ 355 52 224017,"Fly Tower (13th floor), Durresi, Albania","Jul, 24, 2013",http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
59,59,59,2.0,DIAMANT INTERNATIONALL TRANSPORT & FORWARDING,info@diamant.com.al,www.diamant.com.al,+355 (0)52 221421,"Highway Durres, Tirana km 5, Xhavzotaj, Durres, Albania",,http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
60,60,60,3.0,DYRRAHSPED SH P K,agency@dyrrahsped.com,www.dyrrahsped.com,+355 (0)5 221633,"Lagja 4, Rruga 'Migjeni',  AL-2001, Albania",,http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
61,61,61,4.0,PELIKAN SH.P.K,info@pelikantransport.com,www.pelikantransport.com,+355 (0)52 225510,"12th Floor Pallati Aleksi, Rruga Skenderbej, City of Durres, Albania",,http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
62,62,62,5.0,CARGO & BROKER SERVICES,eli969@hotmail.com,,+355 (0)52 236241,"Lagja 11, Rr S Xhemazi 37, Durrës, Albania",,http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
