a,Unnamed: 0,company_name,email,home_page,phone_number,street_address,url
0,0,AFGHAN SHIPPING & LOGISTICS (ASL),operation@afghanshipping-logistics.com,,+93 (0)78 637 3732,"Hairatan Port 3, Hairatan, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/hairatan/page_01.html
1,0,AFGHAN SHIPPING & LOGISTICS (ASL),operation@afghanshipping-logistics.com,,+93 (0)78 637 3732,"Hairatan Port 3, Hairatan, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/hairatan/page_01.html
2,1,PARSIMPEX AFGHANISTAN,opafg@parsimpex.com,www.parsimpex.com,+93(0)793649999,"Falakah Movlanay JamiI, Jami Trade Center, Herat, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/herat/page_01.html
3,2,PEYMAN TRANSIT INT??L FORWARDING COMPANY,sn.nadem@hotmail.com,www.peyman.com.af,+93 (0)40 228282,"Muhammadi Building 3th Floor Unit 15,  009340, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/herat/page_01.html
4,0,AFGHAN SHIPPING & LOGISTICS (ASL),operation@afghanshipping-logistics.com,,+93 (0)78 637 3732,"Hairatan Port 3, Hairatan, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/hairatan/page_01.html
5,1,PARSIMPEX AFGHANISTAN,opafg@parsimpex.com,www.parsimpex.com,+93(0)793649999,"Falakah Movlanay JamiI, Jami Trade Center, Herat, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/herat/page_01.html
6,2,PEYMAN TRANSIT INT??L FORWARDING COMPANY,sn.nadem@hotmail.com,www.peyman.com.af,+93 (0)40 228282,"Muhammadi Building 3th Floor Unit 15,  009340, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/herat/page_01.html
7,3,PAKGRO,,,+93 (0)79 406482,"Al-Haj Main Aslam Plaza A, Dharamshal 4th Floor, Room no 149, Nangarhar, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/jalalabad/page_01.html
8,0,AFGHAN SHIPPING & LOGISTICS (ASL),operation@afghanshipping-logistics.com,,+93 (0)78 637 3732,"Hairatan Port 3, Hairatan, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/hairatan/page_01.html
9,1,PARSIMPEX AFGHANISTAN,opafg@parsimpex.com,www.parsimpex.com,+93(0)793649999,"Falakah Movlanay JamiI, Jami Trade Center, Herat, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/herat/page_01.html
10,2,PEYMAN TRANSIT INT??L FORWARDING COMPANY,sn.nadem@hotmail.com,www.peyman.com.af,+93 (0)40 228282,"Muhammadi Building 3th Floor Unit 15,  009340, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/herat/page_01.html
11,3,PAKGRO,,,+93 (0)79 406482,"Al-Haj Main Aslam Plaza A, Dharamshal 4th Floor, Room no 149, Nangarhar, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/jalalabad/page_01.html
12,4,ALJUBAIR INTERNATIONAL TRANSPORTATION COMPANY (AIT...,info@aitc-co.com,www.aitc-co.com,+93 (0)796 82 9412,"Wazir Akbar Khan, 14th Street,      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
13,5,AS LOGISTICS,ajmal@asl.af,www.asl.af,9.71563E+11,"House # 34, Street # 13, Wazir Akbar Khan, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
14,6,SZ GROUP OF COMPANIES,info@szgroup-af.com,www.szgroup-af.com,93790000081,"House No: 264, Lane No 1, Saleem Karwan Town, Dis 16, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
15,7,AFGHAN EMPIRE INTERNATIONAL LOGISTICS & SERVICES (...,afghanempire1@gmail.com,www.afghanempireinternational.com,+93-799 127 321,"Parwan 2nd, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
16,8,MULTITRANS,mubashir.muzafari@multitranslog.com,www.multitranslog.com,93799644904,"207B Shahr e Naw, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
17,9,AAZAN CORPORATION,arifkamalsyed@gmail.com,www.aazancorporation.com,92915250742,"TF-172, 3rd floor, Deans Trade Center Islamia Road Peshawar Cantt, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
18,10,ISM INTERNATIONAL TRANSPORT AND LOGISTIC LTD.,mohammadismail982@gmail.com,,93202554522,"Shirpoor Main Road, Jam Super Market, 2nd floor, District 10, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
19,11,PAXTON KABUL LOGISTICS COMPANY,kabul@paxton.com,www.paxton.com/locations/kabul,+93 (0)70 0295 329,"House # 8 left side Afghan Street, Shash Darak, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
20,12,GLOCAL,glocal@glocal.com.af,www.glocal.com.af,+ 93 (0) 799 330 325,"4th Street Taimani Project No. 786 Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
21,13,SONIC JET AFGHANISTAN,kabul@sonicjet.aero,www.sonicjet.aero,+93 (0)793 433889,"Kabul International Airport, New Terminal, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
22,14,AFEX LOGISTIC SOLUTIONS,andrew@afexsolutions.com,www.afexsolutions.com,+93 (0)79 490 7756,"House #731, Between Street 8 & 9, Main Road, Mouyi Mubarak, Taimani Watt, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
23,15,ACTCO AFGHANISTAN LOGISTICS,gaurav@afghancontainers.com,www.afghancontainers.com,+93 (0)700 214666,"House No 43 Street 2 Left West Charahi, Haji Yakub Sher e Now,  2683, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
24,16,AFGHAN CONTAINER TRANSPORT COMPANY,gaurav@afghancontainers.com,www.afghancontainers.com,+93 (0)70 214666,"House No 43, Street No 2, Left West of Charahi Haji Yaqub, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
25,17,AFGHAN INTERNATIONAL CARGO,,www.afghanshipping.com,,"Shahsamand Plaza, First Part Jade Mawand, Infront of Mawand Hospital, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
26,18,BLUE SEA LOGISTICS INTERNATIONAL,alamzeb@bluesea-group.com,www.bluesea-group.com,+93 (0)799 757895,"Street # 3rd, House # 5th, Qalai Fathullah, Shahr-e-Naw,  25000, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
27,19,AFGHAN SHIPPING & LOGISTICS (ASL),ceo@afghanshipping-logistics.com,www.afghanshipping-logistics.com,+93 (0)799 119105,"Sarak-e-Naw, Bagram, Jalalabad Main Road, Kabul Industrial Zone, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
28,20,ALLIED XPERT LOGISTICS,kabul@alliedxl.com,www.alliedxl.com,+93 (0)786 441 943,"Suite 511, Main Shash Darak Road, Opp Sitarra School,  74000, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
29,21,AU-LOGISTICS,info@aulogistics.com,www.aulogistics.com,+93 (0)78 720 3010,"Suite #1 St #2, Dani-E-Bagh Square, Baharistan Area Behind Punjsher Biz Ctr,  62000, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
30,22,AUSTIN SHIPPING AGENCY LLC,info@austingroup-me.com,www.austingroup-me.com,,"Ashraf Wat Road, Bet CharraiHaji Yaqoob & Charral Ansari, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
